Issue key,Issue id,Issue Type,Status,Assignee,Summary,Custom field (Story Points),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Inward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Dependency Link),Outward issue link (Agile Hive Link),Outward issue link (Agile Hive Objective Link),Inward issue link (Cloners),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Tests)
RUIT-63,88368,Story,Done,e.konyukhova,Подготовить тест ПМИ по фиче механизма обновления прошивок RRU для TAC,3.0,LST-454,,,,,RUIT-297,,,LTEA-1030,,,,ETM-4229,ETM-4226,ETM-4234,ETM-4235,ETM-4227,ETM-4228,
RUIT-10,45240,Story,Done,e.konyukhova,Подготовить тест для закрытия МПИ mand2 проверка КСВ,3.0,,,,,,,,,LTEA-95,RUIT-300,,,ETM-4222,,,,,,
RUIT-216,98239,Enabler,Done,e.konyukhova,"Подготовить ПМИ тест для закрытия КрЗам ""БС не выходит в работу при недоступности одной из трёх RRU""",3.0,LTEA-1038,,,,,,,,LTEA-347,RUIT-300,,ETM-4223,,,,,,,
RUIT-311,118493,Administrative task,Done,sslobodenyuk,"Координация команды, синки, анализ багов",,,,,,,,,,,,,,,,,,,,
RUIT-213,98236,Enabler,Done,e.konyukhova,Регрессионное тестирование OAM версии 200,2.0,,,,,,,,,LTEA-95,RUIT-300,,,,,,,,,
RUIT-12,87702,Enabler,Done,e.konyukhova,Тестирование фичи учёта недоступности всех антенных портов для cell availability,3.0,RUIT-251,,,,,RUIT-64,,,LTEA-95,RUIT-300,,,,,,,,,LTEA-1182
RUIT-64,88369,Story,Done,nrashchukin,Реализовать костыль агрегации состояния портов для определения работоспособности керриеров и сот,13.0,RUIT-12,,,,,,,,LTEA-95,RUIT-300,,,,,,,,,
RUIT-20,79464,Story,Done,sslobodenyuk,Регрессионное тестирование 190й версии OAM,2.0,,,,,,,,,LTEA-953,,,,,,,,,,
RUIT-283,108415,Story,Done,e.konyukhova,Тестирование фичи передачи портов RRU на предмет отправки состояния антенных портов при изменении состояния портов RRU,13.0,RUIT-29,,,,,RUIT-270,MGMTT-237,RUIT-220,LTEA-953,RUIT-300,,,,,,,,,
RUIT-270,105592,Story,Done,nrashchukin,"Реализовать костыль логики мониторинга индикаторов антенных портов при изменении состояния портов, потере/восстановлении RRU",8.0,RUIT-220,RUIT-283,,,,RUIT-266,,,LTEA-953,RUIT-300,,,,,,,,,
RUIT-220,98424,Story,Done,e.konyukhova,Тестирование Hytes task на предмет отправки состояния антенных портов при изменении состояния портов RRU,3.0,MGMTT-237,RUIT-283,,,,RUIT-270,,,LTEA-953,RUIT-300,,,,,,,,,
RUIT-251,102761,Story,Done,e.konyukhova,Передать тесты по фиче недоступности антенных портов для cell availability в отдел system,2.0,LST-488,LST-446,,,,RUIT-12,,,LTEA-95,RUIT-300,,,ETM-4218,,,,,,
